"","sacwt","batch16","tibia","edl","soleus","testis","abnormal.bmd"
"26703",45.9,0,18.33,11.7,7.5,0.1886,0
"26704",34.8,0,17.94,13.2,7.7,0.1939,0
"26705",40.6,0,18.65,12.4,9.8,0.1868,0
"26706",47.9,0,18.22,13,10.9,0.1942,1
"26707",36.8,0,18.67,12.7,8,0.2024,0
"26708",36.8,0,18.58,13.7,9.1,0.1969,0
"26710",34.3,0,17.76,11.2,7.8,0.203,0
"26711",43.6,0,18.51,14.1,9.5,0.2044,0
"26712",43.6,0,18.69,14.9,8.5,0.236,0
"26713",38.4,0,18.65,12.9,7.4,0.1984,0
"26715",30.9,0,18.44,14.2,7.5,0.1653,0
"26716",32.1,0,18.42,14.8,10,0.2004,0
"26717",30.2,0,17.93,9.9,7.4,0.1272,NA
"26718",43.1,0,18.69,12.3,11.2,0.2161,0
"26720",35.9,0,18.17,11.7,8.2,0.1531,0
"42402",36.8,0,18.47,12.7,10.3,0.19,0
"42403",NA,0,17.56,10.9,8.9,0.1589,1
"42404",31.7,0,18.34,12.1,9.6,0.181,1
"42405",36.8,0,18.24,13.9,8.8,0.1905,0
"42406",NA,0,18.03,13.6,9,0.2047,0
"42407",37,0,18.69,12.4,10.2,0.1736,0
"42408",36.9,0,18.38,14.5,9.6,0.1758,0
"42409",37.9,0,18.5,16.2,9.1,0.1751,0
"42410",36.4,0,18.15,10,7.2,0.1512,0
"42412",35.9,0,18.6,10.8,9.4,0.1586,0
"42413",32.6,0,18.86,11.9,10.1,0.1647,0
"42414",37.4,0,17.72,13.7,9.7,0.1725,1
"42415",34.9,0,19.54,11.5,8.6,0.194,0
"42416",NA,0,18,14,7.6,0.1962,1
"42421",35.8,0,18.78,11.1,8.3,0.2021,0
"42422",NA,0,18.54,11.2,8.1,0.1666,0
"42423",34.2,0,18.44,12,7.2,0.1726,0
"42424",31.5,0,18.54,11.4,9.1,0.1793,0
"42425",34.9,0,17.85,12,8.5,0.1989,0
"42426",39.8,0,18.79,13.6,9.3,0.1963,0
"42427",NA,0,18.73,13.5,9.5,0.1949,1
"42428",37.6,0,18.56,11.9,8.3,0.2101,1
"42429",40.6,0,18.62,11.1,8.8,0.1991,0
"42430",34.1,0,18.6,11,9.2,0.1751,0
"42432",NA,0,18.21,12.1,8.5,0.2102,0
"42433",NA,0,17.9,12.6,9,0.1828,0
"42434",44,0,18.64,12.8,10.1,0.225,0
"42435",38.2,0,17.21,10.5,8.5,0.1642,1
"42436",34.5,0,18.24,11.9,6.5,0.1842,0
"42438",NA,0,18.5,10.9,10.6,0.1895,0
"42439",31.2,0,18.54,11,10,0.2035,0
"42440",37.8,0,18.89,14.4,7.5,0.1777,1
"42442",35.6,0,19.09,12.4,10.2,0.1846,0
"42443",NA,0,18.97,13.4,9.6,0.19,0
"42444",38.9,0,18.39,11.7,8.7,0.1893,0
"42445",36.6,0,18.49,12.3,8.9,0.1871,0
"42446",30.9,0,17.88,12.1,7.7,0.1764,NA
"42447",36,0,18.37,13.2,8.6,0.1801,0
"42601",NA,0,18.77,13.5,12.1,0.2019,0
"42602",48,0,18.3,11.5,10,0.2025,NA
"42604",48.4,0,18.24,13.4,9.5,0.1964,1
"42605",33.4,0,18.97,13,8.7,0.1866,1
"42606",NA,0,18.23,13.3,10.9,0.2062,1
"42609",47.6,0,19.08,14.5,10.1,0.1827,1
"42611",NA,0,18.04,12.5,7.7,0.1815,0
"42612",45.7,0,18,11.7,8.3,0.1891,0
"42613",42.7,0,18.28,12.8,10.2,0.2042,0
"42614",41,0,18.67,11.7,9.8,0.2062,0
"42615",42.7,0,18.22,12.1,10.3,0.1667,0
"42616",NA,0,18.12,13.3,10.1,0.1969,0
"42617",NA,0,18.56,11.9,8.4,0.1884,1
"42618",36.9,0,18.73,13.1,8.1,0.1694,0
"42619",33.3,0,17.81,12,6.8,0.1886,1
"42620",36.8,0,18.05,15,9.1,0.2246,0
"42621",45.6,0,18.86,13,7.7,0.2074,0
"42622",NA,0,18.23,10.7,9.4,0.2031,0
"42624",31,0,18.38,13,9.8,0.1936,0
"42625",33.2,0,18.17,13,9.9,0.1569,NA
"42626",43.5,0,18.7,14,10.5,0.2123,0
"42628",40.4,0,18,11.4,9.4,0.2085,0
"42629",45.2,0,18.9,12.5,10.3,0.1793,0
"42630",40.7,0,18.53,12.5,10.2,0.1907,1
"42632",NA,0,17.89,9.8,8.7,0.2136,0
"42633",NA,0,18.42,13.7,10.1,0.2182,NA
"42634",51.8,0,18.49,15.8,10.5,0.1819,0
"42636",52,0,18.81,15.8,10.7,0.2183,0
"42638",NA,0,18.4,11.7,9.3,0.2335,0
